area,region,branch,wok,eznet_today,eznet_mtd,eznet_lastmtd,onedynamic_today,onedynamic_mtd,onedynamic_lastmtd,other_today,other_mtd,other_lastmtd,total_today,total_mtd,total_lastmtd,contribution_sp,mom
AREA 1,SUMBAGSEL,LAMPUNG,LAMPUNG TENGAH,0,0,0,0,0,0,26,121,105,26,121,105,0.00%,15.24%
AREA 1,SUMBAGSEL,PANGKAL PINANG,BANGKA SELATAN,0,0,0,0,0,0,18,148,147,18,148,147,0.00%,0.68%
AREA 1,SUMBAGTENG,BUKIT TINGGI,PAYAKUMBUH - PASAMAN,0,0,0,0,0,0,30,200,170,30,200,170,0.00%,17.65%
AREA 1,SUMBAGTENG,DUMAI,DUMAI ROKAN HILIR,0,0,0,0,0,0,15,87,109,15,87,109,0.00%,-20.18%
AREA 1,SUMBAGTENG,PEKANBARU,INDRAGIRI PELALAWAN,0,0,0,0,0,0,25,108,108,25,108,108,0.00%,0.00%
AREA 1,SUMBAGUT,BANDA ACEH,SABANG ACEH,0,0,0,0,0,0,53,294,214,53,294,214,0.00%,37.38%
AREA 1,SUMBAGUT,PADANG SIDEMPUAN,TAPANULI NIAS,0,0,0,0,0,0,29,119,127,29,119,127,0.00%,-6.30%
AREA 2,JABAR,TASIKMALAYA,GARUT,0,0,0,0,0,1,17,142,92,17,142,93,0.00%,52.69%
AREA 2,JAKARTA BANTEN,NORTHERN JAKARTA,JAKUT,0,0,0,0,0,0,75,403,300,75,403,300,0.00%,34.33%
AREA 2,JAKARTA BANTEN,SOUTHERN JAKARTA,JAKTIM,0,0,0,0,0,0,94,598,442,94,598,442,0.00%,35.29%
AREA 2,JAKARTA BANTEN,TANGERANG,TANGSEL,0,0,0,0,0,0,77,388,273,77,388,273,0.00%,42.12%
AREA 3,BALINUSRA,FLORES,ENDE SIKKA - FLORES TIMUR,0,0,0,0,0,0,27,112,126,27,112,126,0.00%,-11.11%
AREA 3,BALINUSRA,MATARAM,SUMBAWA BARAT - SUMBAWA TIMUR,0,0,0,0,0,0,32,189,175,32,189,175,0.00%,8.00%
AREA 3,JATENG,PEKALONGAN,BATANG,0,0,0,0,0,0,23,131,101,23,131,101,0.00%,29.70%
AREA 3,JATENG,SEMARANG,SEMARANG 2,0,0,0,0,0,0,35,231,192,35,231,192,0.00%,20.31%
AREA 3,JATENG,YOGYAKARTA,YOGYA 1,0,0,0,0,0,0,50,271,219,50,271,219,0.00%,23.74%
AREA 3,JATENG,YOGYAKARTA,YOGYA 2,0,0,0,0,0,0,39,253,234,39,253,234,0.00%,8.12%
AREA 3,JATIM,JEMBER,KOTA PROBOLINGGO,0,0,5,0,0,0,7,77,67,7,77,72,0.00%,6.94%
AREA 3,JATIM,SIDOARJO,SIDOARJO PASURUAN 1,0,0,0,0,0,0,48,321,198,48,321,198,0.00%,62.12%
AREA 4,KALIMANTAN,BALIKPAPAN,BALIKPAPAN,0,0,0,0,0,0,61,315,289,61,315,289,0.00%,9.00%
AREA 4,KALIMANTAN,PALANGKARAYA,PALANGKARAYA,0,0,0,0,0,0,20,133,124,20,133,124,0.00%,7.26%
AREA 4,KALIMANTAN,PANGKALAN BUN,PANGKALAN BUN,0,0,0,0,0,0,14,100,73,14,100,73,0.00%,36.99%
AREA 4,KALIMANTAN,TARAKAN,TARAKAN,0,0,0,0,0,0,36,173,190,36,173,190,0.00%,-8.95%
AREA 4,PUMA,JAYAPURA,JAYAPURA OUTER,0,0,0,0,0,0,18,92,87,18,92,87,0.00%,5.75%
AREA 4,PUMA,SORONG,SORONG RAJA AMPAT,0,0,0,0,0,0,32,164,143,32,164,143,0.00%,14.69%
AREA 4,SULAWESI,PARE-PARE,LUWU PALOPO,0,0,0,0,0,0,27,144,98,27,144,98,0.00%,46.94%
AREA 4,SULAWESI,TERNATE,HALMAHERA TIDORE,0,0,0,0,0,0,9,64,53,9,64,53,0.00%,20.75%
AREA 1,SUMBAGSEL,LAMPUNG,KOTA BANDAR LAMPUNG,0,0,0,0,0,0,38,245,196,38,245,196,0.00%,25.00%
AREA 1,SUMBAGSEL,PANGKAL PINANG,BANGKA UTARA,0,0,0,0,0,0,17,112,92,17,112,92,0.00%,21.74%
AREA 1,SUMBAGTENG,BUKIT TINGGI,AGAM,0,0,0,0,0,0,40,184,133,40,184,133,0.00%,38.35%
AREA 1,SUMBAGUT,MEDAN,SERDANG,0,0,0,0,0,0,24,120,135,24,120,135,0.00%,-11.11%
AREA 1,SUMBAGUT,RANTAU PRAPAT,LABUHAN BATU PADANG LAWAS,0,0,0,0,0,0,29,250,128,29,250,128,0.00%,95.31%
AREA 2,EASTERN JABOTABEK,KARAWANG,BEKASI,0,0,0,0,0,0,69,515,330,69,515,330,0.00%,56.06%
AREA 2,JABAR,CIREBON,CIREBON RAYA,0,0,1,0,0,0,33,231,161,33,231,162,0.00%,42.59%
AREA 2,JABAR,TASIKMALAYA,CIAMIS,0,0,0,0,0,0,23,139,80,23,139,80,0.00%,73.75%
AREA 3,BALINUSRA,DENPASAR,BALI TENGAH 1,0,0,0,0,0,0,36,187,119,36,187,119,0.00%,57.14%
AREA 3,BALINUSRA,DENPASAR,BALI TIMUR,0,0,0,0,0,0,25,137,146,25,137,146,0.00%,-6.16%
AREA 3,BALINUSRA,KUPANG,KUPANG ROTE - MALAKA TIMTIM BELU,0,0,0,0,0,0,35,187,202,35,187,202,0.00%,-7.43%
AREA 3,JATENG,PEKALONGAN,PEMALANG PURBALINGGA,0,0,0,0,0,0,18,81,68,18,81,68,0.00%,19.12%
AREA 3,JATENG,PURWOKERTO,CILACAP BANYUMAS,0,0,0,0,0,0,25,204,164,25,204,164,0.00%,24.39%
AREA 3,JATENG,SURAKARTA,SRAGEN,0,0,0,0,0,0,16,87,61,16,87,61,0.00%,42.62%
AREA 3,JATIM,MALANG,TULUNGAGUNG,0,0,0,0,0,0,14,61,60,14,61,60,0.00%,1.67%
AREA 3,JATIM,SIDOARJO,SIDOARJO PASURUAN 3,0,0,0,0,0,6,43,319,229,43,319,235,0.00%,35.74%
AREA 4,KALIMANTAN,PALANGKARAYA,BARITO - KAPUAS,0,0,0,0,0,0,23,127,127,23,127,127,0.00%,0.00%
AREA 4,KALIMANTAN,PANGKALAN BUN,KOTAWARINGIN,0,0,0,0,0,0,20,98,82,20,98,82,0.00%,19.51%
AREA 4,KALIMANTAN,SAMARINDA,BONTANG,0,0,0,0,0,0,13,130,114,13,130,114,0.00%,14.04%
AREA 4,SULAWESI,MAKASSAR,BARRU MAROS,0,0,0,0,0,0,20,110,94,20,110,94,0.00%,17.02%
AREA 4,SULAWESI,MANADO,BITUNG MINAHASA,0,0,0,0,0,0,31,155,169,31,155,169,0.00%,-8.28%
AREA 4,SULAWESI,MANADO,MANADO TALAUD,0,0,0,0,0,0,28,166,176,28,166,176,0.00%,-5.68%
AREA 4,SULAWESI,PARE-PARE,PARE SIDRAP,0,0,0,0,0,0,24,145,120,24,145,120,0.00%,20.83%
AREA 1,SUMBAGSEL,BENGKULU,MUSI RAWAS,0,0,0,0,0,0,43,241,234,43,241,234,0.00%,2.99%
AREA 1,SUMBAGSEL,PALEMBANG,PALEMBANG PRABUMULIH,0,0,1,0,0,6,48,230,175,48,230,182,0.00%,26.37%
AREA 1,SUMBAGTENG,BATAM,TANJUNG PINANG,0,0,0,0,0,0,19,112,58,19,112,58,0.00%,93.10%
AREA 1,SUMBAGUT,BANDA ACEH,BIREUEN GAYO,0,0,0,0,0,0,29,229,152,29,229,152,0.00%,50.66%
AREA 1,SUMBAGUT,BINJAI,LANGKAT BINJAI,0,0,0,0,0,0,22,174,158,22,174,158,0.00%,10.13%
AREA 1,SUMBAGUT,BINJAI,LANGSA,0,0,0,0,0,0,41,249,199,41,249,199,0.00%,25.13%
AREA 1,SUMBAGUT,BINJAI,LHOKSEUMAWE,0,0,0,0,0,0,32,178,141,32,178,141,0.00%,26.24%
AREA 1,SUMBAGUT,MEDAN,KOTA MEDAN 1,0,0,0,0,0,0,73,439,396,73,439,396,0.00%,10.86%
AREA 2,EASTERN JABOTABEK,KARAWANG,KARAWANG PURWAKARTA,0,0,0,0,0,0,34,232,152,34,232,152,0.00%,52.63%
AREA 2,JABAR,BANDUNG,CIANJUR,0,0,0,0,0,0,114,634,481,114,634,481,0.00%,31.81%
AREA 2,JABAR,SOREANG,SUMEDANG MAJALENGKA,0,0,0,0,0,0,31,174,122,31,174,122,0.00%,42.62%
AREA 2,JAKARTA BANTEN,SERANG,KAB TANGERANG,0,0,0,0,0,0,44,334,227,44,334,227,0.00%,47.14%
AREA 3,BALINUSRA,DENPASAR,BALI BARAT,0,0,3,0,0,0,29,151,147,29,151,150,0.00%,0.67%
AREA 3,BALINUSRA,DENPASAR,BALI TENGAH 2,0,0,0,0,0,0,36,221,183,36,221,183,0.00%,20.77%
AREA 3,JATENG,SURAKARTA,BOYOLALI,0,0,0,0,0,0,18,139,117,18,139,117,0.00%,18.80%
AREA 3,JATENG,SURAKARTA,SURAKARTA,0,0,0,0,0,0,31,180,146,31,180,146,0.00%,23.29%
AREA 3,JATIM,MADIUN,MADIUN - PONOROGO TRENGGALEK,0,0,0,0,0,0,7,50,37,7,50,37,0.00%,35.14%
AREA 3,JATIM,MALANG,MALANG SELATAN,0,0,0,0,0,0,30,195,145,30,195,145,0.00%,34.48%
AREA 3,JATIM,SURABAYA,SURABAYA 1,0,0,0,0,0,0,58,284,178,58,284,178,0.00%,59.55%
AREA 3,JATIM,SURABAYA,SURABAYA 4,0,0,0,0,0,0,47,299,211,47,299,211,0.00%,41.71%
AREA 4,KALIMANTAN,TARAKAN,BERAU,0,0,0,0,0,0,21,142,100,21,142,100,0.00%,42.00%
AREA 4,PUMA,AMBON,AMBON INNER,0,0,0,0,0,0,30,159,151,30,159,151,0.00%,5.30%
AREA 4,PUMA,AMBON,AMBON OUTER,0,0,0,0,0,0,21,121,128,21,121,128,0.00%,-5.47%
AREA 4,PUMA,TIMIKA,MERAUKE,0,0,0,0,0,0,3,62,60,3,62,60,0.00%,3.33%
AREA 4,SULAWESI,PARE-PARE,MAMUJU MAJENE,0,0,0,0,0,0,19,86,75,19,86,75,0.00%,14.67%
AREA 1,SUMBAGSEL,BENGKULU,KOTA BENGKULU,0,0,0,0,0,0,77,486,317,77,486,317,0.00%,53.31%
AREA 1,SUMBAGSEL,JAMBI,MUARO JAMBI TANJUNG JABUNG,0,0,0,0,0,0,23,121,108,23,121,108,0.00%,12.04%
AREA 1,SUMBAGSEL,JAMBI,TEBO BUNGO - KERINCI,0,0,0,0,0,0,39,198,109,39,198,109,0.00%,81.65%
AREA 1,SUMBAGTENG,DUMAI,ROKAN KUANTAN KAMPAR,0,0,0,0,0,0,28,153,123,28,153,123,0.00%,24.39%
AREA 1,SUMBAGTENG,PADANG,SOLOK DHARMASRAYA,0,0,0,0,0,0,25,183,139,25,183,139,0.00%,31.65%
AREA 1,SUMBAGUT,MEDAN,KOTA MEDAN 2,0,0,0,0,0,0,38,224,214,38,224,214,0.00%,4.67%
AREA 1,SUMBAGUT,PEMATANG SIANTAR,SIANTAR SAMOSIR,0,0,0,0,0,0,15,122,131,15,122,131,0.00%,-6.87%
AREA 2,EASTERN JABOTABEK,BOGOR,BOGOR,0,0,0,0,0,0,93,482,438,93,482,438,0.00%,10.05%
AREA 2,JABAR,BANDUNG,KOTA BANDUNG,0,0,0,0,0,0,149,912,638,149,912,638,0.00%,42.95%
AREA 2,JAKARTA BANTEN,NORTHERN JAKARTA,JAKBAR,0,0,0,0,0,0,61,419,367,61,419,367,0.00%,14.17%
AREA 2,JAKARTA BANTEN,SERANG,SERANG CILEGON,0,0,0,0,0,0,22,192,154,22,192,154,0.00%,24.68%
AREA 2,JAKARTA BANTEN,SOUTHERN JAKARTA,JAKPUSEL,0,0,0,0,0,5,116,765,601,116,765,606,0.00%,26.24%
AREA 3,JATENG,MAGELANG,KEBUMEN,0,0,0,0,0,0,17,85,79,17,85,79,0.00%,7.59%
AREA 3,JATENG,SEMARANG,JEPARA KUDUS - PATI,0,0,0,0,0,0,17,124,130,17,124,130,0.00%,-4.62%
AREA 3,JATIM,JEMBER,BANYUWANGI - SITUBONDOWOSO,0,0,0,0,0,0,16,67,48,16,67,48,0.00%,39.58%
AREA 3,JATIM,LAMONGAN,LAMONGAN GRESIK,0,0,0,0,0,0,42,269,218,42,269,218,0.00%,23.39%
AREA 3,JATIM,SIDOARJO,SIDOARJO PASURUAN 2,0,0,0,0,0,0,25,136,94,25,136,94,0.00%,44.68%
AREA 3,JATIM,SURABAYA,SURABAYA 2,0,0,0,0,0,0,45,279,216,45,279,216,0.00%,29.17%
AREA 4,KALIMANTAN,BALIKPAPAN,KUTAI,0,0,0,0,0,0,22,169,174,22,169,174,0.00%,-2.87%
AREA 4,KALIMANTAN,BANJARMASIN,BANJAR,0,0,0,0,0,0,64,408,357,64,408,357,0.00%,14.29%
AREA 4,KALIMANTAN,BANJARMASIN,BATULICIN,0,0,0,0,0,0,30,177,135,30,177,135,0.00%,31.11%
AREA 4,KALIMANTAN,PONTIANAK,PONTIANAK,0,1,0,1,66,100,36,226,148,37,293,248,22.87%,18.15%
AREA 4,SULAWESI,MAKASSAR,GOWA,0,0,0,0,0,0,38,194,152,38,194,152,0.00%,27.63%
AREA 4,SULAWESI,MAKASSAR,KOTA MAKASSAR,0,0,0,0,0,0,76,465,419,76,465,419,0.00%,10.98%
AREA 4,SULAWESI,MANADO,BOLAANG MONGONDOW,0,0,0,0,0,0,19,84,80,19,84,80,0.00%,5.00%
AREA 4,SULAWESI,PALU,POSO PARIGI TOLI,0,0,0,0,0,0,15,84,104,15,84,104,0.00%,-19.23%
AREA 4,SULAWESI,TERNATE,TERNATE MOROTAI,0,0,0,0,0,0,29,139,148,29,139,148,0.00%,-6.08%
AREA 1,SUMBAGSEL,PALEMBANG,MUSI BANYUASIN,0,0,0,0,0,2,20,176,126,20,176,128,0.00%,37.50%
AREA 1,SUMBAGUT,PADANG SIDEMPUAN,SIDEMPUAN,0,0,0,0,0,0,23,114,106,23,114,106,0.00%,7.55%
AREA 1,SUMBAGUT,PEMATANG SIANTAR,KARO,0,0,0,0,0,0,8,62,83,8,62,83,0.00%,-25.30%
AREA 1,SUMBAGUT,RANTAU PRAPAT,ASAHAN,0,0,0,0,0,0,10,46,52,10,46,52,0.00%,-11.54%
AREA 2,JABAR,SOREANG,BANDUNG,0,0,0,0,0,0,72,401,247,72,401,247,0.00%,62.35%
AREA 2,JAKARTA BANTEN,TANGERANG,KOTA TANGERANG,0,0,0,0,0,0,49,332,244,49,332,244,0.00%,36.07%
AREA 3,BALINUSRA,FLORES,MANGGARAI,0,0,0,0,0,0,14,66,75,14,66,75,0.00%,-12.00%
AREA 3,BALINUSRA,KUPANG,SUMBA,0,0,0,0,0,0,3,39,42,3,39,42,0.00%,-7.14%
AREA 3,BALINUSRA,MATARAM,LOMBOK,0,0,0,0,0,0,36,186,131,36,186,131,0.00%,41.98%
AREA 3,JATENG,SEMARANG,DEMAK,0,0,0,0,0,0,20,139,120,20,139,120,0.00%,15.83%
AREA 3,JATIM,MADIUN,KEDIRI,0,0,0,0,0,1,11,73,43,11,73,44,0.00%,65.91%
AREA 3,JATIM,SIDOARJO,JOMBANG MOJOKERTO,0,0,0,0,0,0,19,136,77,19,136,77,0.00%,76.62%
AREA 3,JATIM,SURABAYA,PAMEKASAN SUMENEP,0,0,0,0,0,0,9,108,56,9,108,56,0.00%,92.86%
AREA 3,JATIM,SURABAYA,SURABAYA 3,0,0,0,0,0,0,54,328,214,54,328,214,0.00%,53.27%
AREA 4,KALIMANTAN,BANJARMASIN,TANJUNG,0,0,0,0,0,0,28,189,175,28,189,175,0.00%,8.00%
AREA 4,KALIMANTAN,PONTIANAK,SAMBAS,1,1,0,1,38,36,39,200,93,41,239,129,16.32%,85.27%
AREA 4,KALIMANTAN,PONTIANAK,SINTANG,0,0,1,0,0,0,36,177,156,36,177,157,0.00%,12.74%
AREA 4,KALIMANTAN,SAMARINDA,KOTA SAMARINDA,0,0,1,0,1,5,30,228,198,30,229,204,0.44%,12.25%
AREA 4,PUMA,SORONG,MANOKWARI NABIRE,0,0,0,0,0,0,23,132,116,23,132,116,0.00%,13.79%
AREA 4,PUMA,TIMIKA,MIMIKA,0,0,0,0,0,0,15,97,79,15,97,79,0.00%,22.78%
AREA 4,SULAWESI,BONE,BONE,0,0,0,0,0,0,34,151,131,34,151,131,0.00%,15.27%
AREA 4,SULAWESI,BONE,WAJO SOPENG,0,0,0,0,0,0,9,74,75,9,74,75,0.00%,-1.33%
AREA 4,SULAWESI,KENDARI,KENDARI,0,0,0,0,0,0,47,298,211,47,298,211,0.00%,41.23%
AREA 4,SULAWESI,KENDARI,WAKATOBI,0,0,0,0,0,0,11,83,97,11,83,97,0.00%,-14.43%
AREA 1,SUMBAGSEL,LAMPUNG,LAMPUNG BARAT - WAY KANAN,0,0,0,0,0,0,13,121,84,13,121,84,0.00%,44.05%
AREA 1,SUMBAGSEL,PALEMBANG,OGAN KOMERING,0,0,0,0,0,0,23,136,123,23,136,123,0.00%,10.57%
AREA 1,SUMBAGTENG,BATAM,BATAM,0,0,0,0,0,0,45,250,227,45,250,227,0.00%,10.13%
AREA 1,SUMBAGTENG,PADANG,PADANG - PESISIR MENTAWAI,0,0,0,0,0,0,51,297,220,51,297,220,0.00%,35.00%
AREA 1,SUMBAGTENG,PEKANBARU,PEKANBARU - SIAK,0,0,0,0,0,0,59,320,280,59,320,280,0.00%,14.29%
AREA 1,SUMBAGUT,BANDA ACEH,ACEH BARAT SELATAN,0,0,0,0,0,0,46,254,192,46,254,192,0.00%,32.29%
AREA 1,SUMBAGUT,PEMATANG SIANTAR,SERDANG BEDAGAI,0,0,0,0,0,0,8,61,75,8,61,75,0.00%,-18.67%
AREA 2,EASTERN JABOTABEK,BEKASI,DEPOK,0,0,0,0,0,0,52,264,210,52,264,210,0.00%,25.71%
AREA 2,EASTERN JABOTABEK,BEKASI,KOTA BEKASI,0,0,0,0,1,0,88,512,367,88,513,367,0.19%,39.78%
AREA 2,EASTERN JABOTABEK,BOGOR,SUKABUMI,0,0,0,0,0,0,13,134,106,13,134,106,0.00%,26.42%
AREA 2,JABAR,CIREBON,SUBANG INDRAMAYU,0,0,0,0,1,3,17,95,91,17,96,94,1.04%,2.13%
AREA 2,JABAR,TASIKMALAYA,TASIKMALAYA,0,0,0,0,0,0,28,124,84,28,124,84,0.00%,47.62%
AREA 2,JAKARTA BANTEN,SERANG,LEBAK PANDEGLANG,0,0,2,0,0,10,14,78,64,14,78,76,0.00%,2.63%
AREA 3,JATENG,MAGELANG,MAGELANG TEMANGGUNG,0,0,0,0,0,0,35,202,131,35,202,131,0.00%,54.20%
AREA 3,JATENG,PEKALONGAN,TEGAL BREBES,0,0,0,0,0,0,19,151,141,19,151,141,0.00%,7.09%
AREA 3,JATENG,PURWOKERTO,WONOSOBO BANJARNEGARA,0,0,0,0,0,0,13,82,59,13,82,59,0.00%,38.98%
AREA 3,JATENG,SEMARANG,SEMARANG 1,0,0,0,0,0,0,23,148,93,23,148,93,0.00%,59.14%
AREA 3,JATIM,JEMBER,JEMBER,0,2,0,0,0,0,16,68,59,16,70,59,2.86%,18.64%
AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,0,0,0,0,0,0,14,105,79,14,105,79,0.00%,32.91%
AREA 3,JATIM,MALANG,MALANG UTARA,0,0,0,0,0,0,36,170,140,36,170,140,0.00%,21.43%
AREA 3,JATIM,SURABAYA,BANGKALAN SAMPANG,0,0,0,0,0,0,26,170,110,26,170,110,0.00%,54.55%
AREA 4,KALIMANTAN,PANGKALAN BUN,KETAPANG,0,0,0,0,0,0,25,144,102,25,144,102,0.00%,41.18%
AREA 4,PUMA,JAYAPURA,JAYAPURA INNER,0,0,0,0,0,0,27,133,120,27,133,120,0.00%,10.83%
AREA 4,SULAWESI,KENDARI,KOLAKA KONAWE,0,0,0,0,0,0,23,127,86,23,127,86,0.00%,47.67%
AREA 4,SULAWESI,MANADO,GORONTALO - PAHUWATO,0,0,1,0,0,0,39,181,121,39,181,122,0.00%,48.36%
AREA 4,SULAWESI,PALU,BANGGAI - MOROWALI,0,0,0,0,0,0,16,99,63,16,99,63,0.00%,57.14%
AREA 4,SULAWESI,PALU,PALU DONGGALA,0,0,0,0,0,0,28,202,212,28,202,212,0.00%,-4.72%
AREA 4,SULAWESI,PARE-PARE,TORAJA,0,0,0,0,0,0,7,55,50,7,55,50,0.00%,10.00%
